Year,Month,Median montly series,Season
1751,11,107.7,Autumn
1751,12,77.1,Winter
1752,1,123.0,Winter
1752,2,51.8,Winter
1752,3,48.5,Spring
1752,4,27.0,Spring
1752,5,117.6,Spring
1752,6,96.0,Summer
1752,7,156.4,Summer
1752,8,141.3,Summer
1752,9,111.1,Autumn
1752,10,70.1,Autumn
1752,11,80.9,Autumn
1752,12,55.0,Winter
1753,1,109.9,Winter
1753,2,126.4,Winter
1753,3,102.2,Spring
1753,4,62.7,Spring
1753,5,98.9,Spring
1753,6,83.5,Summer
1753,7,98.9,Summer
1753,8,116.5,Summer
1753,9,55.0,Autumn
1753,10,70.4,Autumn
1753,11,55.0,Autumn
1753,12,119.8,Winter
1754,1,149.2,Winter
1754,2,73.0,Winter
1754,3,69.9,Spring
1754,4,61.5,Spring
1754,5,69.9,Spring
1754,6,160.6,Summer
1754,7,99.1,Summer
1754,8,81.4,Summer
1754,9,54.2,Autumn
1754,10,70.9,Autumn
1754,11,54.2,Autumn
1754,12,99.1,Winter
1755,1,34.8,Winter
1755,2,38.4,Winter
1755,3,108.0,Spring
1755,4,128.4,Spring
1755,5,99.6,Spring
1755,6,96.0,Summer
1755,7,127.2,Summer
1755,8,100.8,Summer
1755,9,145.2,Autumn
1755,10,70.8,Autumn
1755,11,130.8,Autumn
1755,12,120.0,Winter
1756,1,149.0,Winter
1756,2,72.6,Winter
1756,3,68.7,Spring
1756,4,152.9,Spring
1756,5,117.9,Spring
1756,6,140.0,Summer
1756,7,99.8,Summer
1756,8,141.3,Summer
1756,9,92.0,Autumn
1756,10,151.6,Autumn
1756,11,54.4,Autumn
1756,12,55.7,Winter
1757,1,73.4,Winter
1757,2,39.3,Winter
1757,3,98.2,Spring
1757,4,113.7,Spring
1757,5,77.5,Spring
1757,6,46.5,Summer
1757,7,107.5,Summer
1757,8,173.6,Summer
1757,9,39.3,Autumn
1757,10,74.4,Autumn
1757,11,114.7,Autumn
1757,12,75.4,Winter
1758,1,69.4,Winter
1758,2,103.5,Winter
1758,3,81.5,Spring
1758,4,59.5,Spring
1758,5,52.9,Spring
1758,6,54.0,Summer
1758,7,186.1,Summer
1758,8,110.1,Summer
1758,9,69.4,Autumn
1758,10,85.9,Autumn
1758,11,99.1,Autumn
1758,12,130.0,Winter
1759,1,75.9,Winter
1759,2,28.6,Winter
1759,3,110.7,Spring
1759,4,65.2,Spring
1759,5,52.7,Spring
1759,6,102.7,Summer
1759,7,45.5,Summer
1759,8,80.4,Summer
1759,9,75.0,Autumn
1759,10,124.1,Autumn
1759,11,71.4,Autumn
1759,12,60.7,Winter
1760,1,101.4,Winter
1760,2,97.9,Winter
1760,3,25.3,Spring
1760,4,33.4,Spring
1760,5,56.5,Spring
1760,6,109.5,Summer
1760,7,41.5,Summer
1760,8,112.9,Summer
1760,9,121.0,Autumn
1760,10,169.4,Autumn
1760,11,148.6,Autumn
1760,12,134.8,Winter
1761,1,26.0,Winter
1761,2,83.9,Winter
1761,3,72.9,Spring
1761,4,66.9,Spring
1761,5,69.9,Spring
1761,6,81.9,Summer
1761,7,49.9,Summer
1761,8,88.9,Summer
1761,9,80.9,Autumn
1761,10,163.8,Autumn
1761,11,124.8,Autumn
1761,12,88.9,Winter
1762,1,82.1,Winter
1762,2,46.8,Winter
1762,3,87.4,Spring
1762,4,52.1,Spring
1762,5,30.0,Spring
1762,6,26.5,Summer
1762,7,54.8,Summer
1762,8,103.3,Summer
1762,9,89.2,Autumn
